virtual_meter_id,gap_start_time,gap_end_time,gap_length_minutes
BBDL01_0b68_fbed,2024-05-16 09:43:00+00:00,2024-05-16 09:47:00+00:00,3
BBDL01_0b68_fbed,2024-05-17 04:35:00+00:00,2024-05-17 04:43:00+00:00,7
BBDL01_0b68_fbed,2024-05-17 18:45:00+00:00,2024-05-17 18:49:00+00:00,3
BBDL01_0b68_fbed,2024-05-19 06:27:00+00:00,2024-05-19 06:56:00+00:00,28
BBDL01_0b68_fbed,2024-05-20 02:54:00+00:00,2024-05-20 05:05:00+00:00,130
BBDL01_0b68_fbed,2024-05-20 06:14:00+00:00,2024-05-20 06:17:00+00:00,2
BBDL01_0b68_fbed,2024-05-28 09:38:00+00:00,2024-05-28 09:46:00+00:00,7
BBDL01_0b68_fbed,2024-05-28 13:49:00+00:00,2024-05-28 13:53:00+00:00,3
BBDL01_0b68_fbed,2024-05-29 11:22:00+00:00,2024-05-29 11:50:00+00:00,27
BBDL01_0b68_fbed,2024-05-29 12:23:00+00:00,2024-05-29 12:27:00+00:00,3
BBDL01_0b68_fbed,2024-05-31 15:50:00+00:00,2024-05-31 15:54:00+00:00,3
BBDL01_0b68_fbed,2024-05-31 16:36:00+00:00,2024-05-31 16:40:00+00:00,3
BBDL01_0b68_fbed,2024-06-05 07:06:00+00:00,2024-06-05 07:13:00+00:00,6
BBDL01_0b68_fbed,2024-06-05 07:15:00+00:00,2024-06-05 08:34:00+00:00,78
BBDL01_0b68_fbed,2024-06-05 15:43:00+00:00,2024-06-05 15:53:00+00:00,9
BBDL01_0b68_fbed,2024-06-05 15:54:00+00:00,2024-06-05 15:59:00+00:00,4
BBDL01_0b68_fbed,2024-06-05 16:03:00+00:00,2024-06-05 16:20:00+00:00,16
BBDL01_0b68_fbed,2024-06-05 17:11:00+00:00,2024-06-05 17:16:00+00:00,4
BBDL01_0b68_fbed,2024-06-08 01:22:00+00:00,2024-06-08 01:54:00+00:00,31
BBDL01_0b68_fbed,2024-06-08 08:49:00+00:00,2024-06-08 08:51:00+00:00,1
BBDL01_0b68_fbed,2024-06-08 09:28:00+00:00,2024-06-08 09:30:00+00:00,1
BBDL01_0b68_fbed,2024-06-08 09:30:00+00:00,2024-06-08 09:32:00+00:00,1
BBDL01_0b68_fbed,2024-06-08 09:44:00+00:00,2024-06-08 09:46:00+00:00,1
BBDL01_0b68_fbed,2024-06-08 12:07:00+00:00,2024-06-08 12:09:00+00:00,1
BBDL01_0b68_fbed,2024-06-10 22:19:00+00:00,2024-06-10 22:35:00+00:00,15
BBDL01_0b68_fbed,2024-06-11 07:41:00+00:00,2024-06-11 07:44:00+00:00,2
BBDL01_0b68_fbed,2024-06-11 07:47:00+00:00,2024-06-11 07:49:00+00:00,1
BBDL01_0b68_fbed,2024-06-11 07:54:00+00:00,2024-06-11 07:56:00+00:00,1
BBDL01_0b68_fbed,2024-06-11 08:55:00+00:00,2024-06-11 10:31:00+00:00,95
BBDL01_0b68_fbed,2024-06-14 06:12:00+00:00,2024-06-14 06:17:00+00:00,4
BBDL01_0b68_fbed,2024-06-18 10:18:00+00:00,2024-06-18 10:30:00+00:00,11
BBDL01_0b68_fbed,2024-06-27 02:52:00+00:00,2024-06-27 03:00:00+00:00,7
BBDL01_0b68_fbed,2024-06-28 06:28:00+00:00,2024-06-28 06:35:00+00:00,6
BBDL01_0b68_fbed,2024-06-29 01:21:00+00:00,2024-06-29 01:27:00+00:00,5
BBDL01_0b68_fbed,2024-06-30 12:13:00+00:00,2024-06-30 12:18:00+00:00,4
BBDL01_0b68_fbed,2024-07-01 07:16:00+00:00,2024-07-01 07:42:00+00:00,25
BBDL01_0b68_fbed,2024-07-02 17:34:00+00:00,2024-07-03 18:16:00+00:00,1481
BBDL01_0b68_fbed,2024-07-05 20:19:00+00:00,2024-07-09 00:05:00+00:00,4545
BBDL01_0b68_fbed,2024-07-10 08:38:00+00:00,2024-07-10 08:48:00+00:00,9
BBDL01_0b68_fbed,2024-07-11 10:06:00+00:00,2024-07-11 10:10:00+00:00,3
BBDL01_0b68_fbed,2024-07-12 04:59:00+00:00,2024-07-12 05:04:00+00:00,4
BBDL01_0b68_fbed,2024-07-16 16:00:00+00:00,2024-07-16 16:05:00+00:00,4
BBDL01_0b68_fbed,2024-07-17 03:41:00+00:00,2024-07-17 03:46:00+00:00,4
BBDL01_0b68_fbed,2024-07-26 04:43:00+00:00,2024-07-26 04:49:00+00:00,5
BBDL01_0b68_fbed,2024-07-26 07:56:00+00:00,2024-07-26 08:01:00+00:00,4
BBDL01_0b68_fbed,2024-07-29 09:05:00+00:00,2024-07-29 09:10:00+00:00,4
BBDL01_0b68_fbed,2024-07-29 14:55:00+00:00,2024-07-29 15:00:00+00:00,4
BBDL01_0b68_fbed,2024-07-31 08:29:00+00:00,2024-07-31 08:36:00+00:00,6
BBDL01_0b68_fbed,2024-07-31 09:02:00+00:00,2024-07-31 09:04:00+00:00,1
BBDL01_0b68_fbed,2024-08-01 10:14:00+00:00,2024-08-01 10:19:00+00:00,4
BBDL01_0b68_fbed,2024-08-02 06:55:00+00:00,2024-08-02 11:53:00+00:00,297
BBDL01_0b68_fbed,2024-08-04 07:44:00+00:00,2024-08-04 07:52:00+00:00,7
BBDL01_0b68_fbed,2024-08-04 12:58:00+00:00,2024-08-04 13:14:00+00:00,15
BBDL01_0b68_fbed,2024-08-04 17:24:00+00:00,2024-08-04 17:30:00+00:00,5
BBDL01_0b68_fbed,2024-08-05 13:20:00+00:00,2024-08-05 13:53:00+00:00,32
BBDL01_0b68_fbed,2024-08-06 06:31:00+00:00,2024-08-06 06:37:00+00:00,5
BBDL01_0b68_fbed,2024-08-07 01:36:00+00:00,2024-08-07 01:41:00+00:00,4
BBDL01_0b68_fbed,2024-08-07 09:23:00+00:00,2024-08-07 09:29:00+00:00,5
BBDL01_0b68_fbed,2024-08-08 05:29:00+00:00,2024-08-08 05:34:00+00:00,4
BBDL01_0b68_fbed,2024-08-08 10:03:00+00:00,2024-08-08 10:09:00+00:00,5
BBDL01_0b68_fbed,2024-08-09 10:36:00+00:00,2024-08-09 10:44:00+00:00,7
